Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
St. Clair Medical,Primary Care,T3,Kristen,Other/Metro,East China,Michigan,48054,3,15,2026-06-09,37,Unknown
Sterling Family Medicine,Primary Care,T3,Kristen,Sterling Heights,Warren,MI,48092,3,3,2026-07-13,3,Unknown
Stonebrooke Family Physicians,Primary Care,T3,Kristen,Troy,Rochester Hills,Michigan,48309,3,24,2026-06-10,36,Unknown
Thrive Medicine,Primary Care,T3,Kristen,Other/Metro,Northville,Michigan,48167,3,3,2026-06-04,42,Unknown
Total Urgent Care - Imlay City,Urgent Care,T3,Kristen,Other/Metro,Imlay City,Michigan,48444,3,15,2026-06-02,44,Unknown
Trinity IHA Primary Care - Schoolcraft Campus,Primary Care,T3,Kristen,Livonia,Livonia,Michigan,48152,3,30,2026-06-30,16,Unknown
Trinity IHA Senior Primary Care,Primary Care,T3,Kristen,Livonia,Livonia,Michigan,48152,3,17,2026-06-30,16,Unknown
Universal Clinic & Urgent Care,Urgent Care,T3,Kristen,Sterling Heights,Warren,Michigan,48092,3,6,2026-07-13,3,Unknown
Village Medical - Livonia,Primary Care,T3,Kristen,Livonia,Livonia,Michigan,48152,3,29,2026-06-30,16,Unknown
Village Medical - Northville West,Primary Care,T3,Kristen,Other/Metro,Northville,Michigan,48167,3,15,2026-06-04,42,Unknown
Wadhams Family Care,Primary Care,T3,Kristen,Other/Metro,Kimball,Michigan,48074,3,6,2026-05-05,72,Unknown
"WAYNE MEDICAL CENTER, PLLC",Primary Care,T3,Kristen,Livonia,WESTLAND,Michigan,,3,9,2026-07-06,10,Unknown
WellNow - Port Huron,Urgent Care,T3,Kristen,Port Huron,Port Huron,Michigan,48060,3,9,2026-06-25,21,Unknown
WESTLAND CLINIC - use,Primary Care,T3,Kristen,Livonia,WESTLAND,MI,48185,3,9,2026-06-05,41,Unknown
"White MD, Louis PC",Primary Care,T3,Kristen,Troy,Birmingham,Michigan,480097206,3,9,2026-07-08,8,Unknown
Yale Family Care,Primary Care,T3,Kristen,Other/Metro,Yale,Michigan,48097,3,3,2026-06-09,37,Unknown
Yehia Elsafy MD PC,Primary Care,T3,Kristen,Port Huron,Port Huron,Michigan,48060,3,3,2026-06-16,30,Unknown
ACADEMIC INTERNAL MEDICINE,Primary Care,T3,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,27,2026-05-18,59,Unknown
Advanced Primary Care,Primary Care,T3,Jasmine,Other/Metro,CANTON,Michigan,48187,3,6,2026-06-02,44,Unknown
AMC primary care,Primary Care,T3,Jasmine,Other/Metro,Dearborn Heights,Michigan,48125,3,6,2026-06-17,29,Past due
Arash Kiarash,Primary Care,T3,Jasmine,Livonia,Westland,Michigan,48186,3,3,2026-07-06,10,Unknown
ASSOCIATES IN INTERNAL MEDICINE SPECIALTIES,Primary Care,T3,Jasmine,Other/Metro,Garden City,Michigan,48135,3,6,2026-06-15,31,Unknown
ATI Ypsilanti Huron Rd,Primary Care,T3,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,18,2026-06-08,38,Unknown
BEAUMONT FAMILY MEDICINE BELLEVILLE,Primary Care,T3,Jasmine,Other/Metro,BELLEVILLE,Michigan,,3,33,2026-05-29,48,Unknown
BEAUMONT FAMILY MEDICINE GARDEN CITY,Primary Care,T3,Jasmine,Other/Metro,GARDEN CITY,MI,48135,3,24,2026-06-15,31,Unknown
Bio Energy Medical Center,Primary Care,T3,Jasmine,Other/Metro,Ann Arbor,Michigan,48108,3,24,2026-07-06,10,Unknown
CANTON FAMILY HEALTH LLC,Primary Care,T3,Jasmine,Other/Metro,CANTON,MI,48187,3,6,2026-07-06,10,Unknown
Care Medical Clinic of Canton,Primary Care,T3,Jasmine,Other/Metro,Canton,MI,48187,3,3,2026-06-02,44,Unknown
Concentra Urgent Care - Southfield,Urgent Care,T3,Jasmine,Southfield,Southfield,Michigan,48076,3,2,2026-07-09,7,Unknown
Concentra Urgent Care- Novi,Urgent Care,T3,Jasmine,Livonia,Novi,Michigan,48375,3,6,2026-05-05,72,Unknown
Corewell Health Wayne Hospital Family Medicine -  Canton,Primary Care,T3,Jasmine,Other/Metro,CANTON,MI,48187,3,21,2026-06-02,44,Unknown
Dearborn Family Doctors,Primary Care,T3,Jasmine,Livonia,Dearborn,Michigan,48126,3,3,2026-05-20,57,Unknown
"DEARBORN HEALTHCARE, PC",Primary Care,T3,Jasmine,Livonia,Dearborn,Michigan,48120,3,6,2026-05-20,57,Unknown
"DR VIJAYA CHALLA, MD, PC",Primary Care,T3,Jasmine,Livonia,DEARBORN,MI,48124,3,6,2026-03-27,111,Unknown
Dr. Susannah Parke,Primary Care,T3,Jasmine,Other/Metro,Ann Arbor,Michigan,48103,3,3,2026-05-27,50,Unknown
"EAST DEARBORN MEDICAL CLINIC, PC (Medicaid)",Primary Care,T3,Jasmine,Livonia,DEARBORN,Michigan,48126,3,3,2026-06-01,45,Unknown
"EASTBORN CLINIC, PLLC",Primary Care,T3,Jasmine,Livonia,DEARBORN,MI,48126,3,3,2026-06-01,45,Unknown
Emmaus Health,Primary Care,T3,Jasmine,Other/Metro,Ann Arbor,Michigan,48105,3,15,2026-04-17,90,Unknown
EPIC - Eastponte,Urgent Care,T3,Jasmine,Other/Metro,Eastpointe,Michigan,48021,3,6,2026-05-01,76,Unknown
FORD TEL MEDICAL CENTER,Urgent Care,T3,Jasmine,Other/Metro,Dearborn Heights,Michigan,48127,3,6,2026-06-17,29,Unknown
"GARDEN CITY MEDICAL CENTER, PC",Primary Care,T3,Jasmine,Other/Metro,GARDEN CITY,MI,48135,3,15,2026-06-15,31,Unknown
Garden City urgent care/primary care,Urgent Care,T3,Jasmine,Other/Metro,Garden City,Michigan,48135,3,6,2026-05-13,64,Unknown
Get Well Urgent Care,Urgent Care,T3,Jasmine,Other/Metro,Dearborn Heights,Michigan,48127,3,3,2026-06-17,29,Unknown
Get Well Urgent Care Southfield,Urgent Care,T3,Jasmine,Southfield,Southfield,Michigan,48075,3,27,2026-06-30,16,Unknown
Gretchen’s place,Primary Care,T3,Jasmine,Other/Metro,Belleville,Michigan,48111,3,9,2026-05-29,48,Unknown
HENRY FORD MEDICAL CENTER COLUMBUS WALK IN CLINIC,Primary Care,T3,Jasmine,Livonia,NOVI,MI,48377,3,0,2026-06-24,22,Unknown
HENRY FORD MEDICAL CENTER TEMPLIN,Primary Care,T3,Jasmine,Other/Metro,WYANDOTTE,MI,48192,3,4,2026-03-31,107,Unknown
Hewitt Road Medical Center,Primary Care,T3,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,6,2026-05-18,59,Unknown
"IHA, Primary Care - Cherry Hill Village",Primary Care,T3,Jasmine,Other/Metro,Canton,Michigan,48187,3,36,2026-06-02,44,Unknown
"INTERNAL MEDICINE ASSOCIATES OF SOUTHEAST MICHIGAN, PC",Primary Care,T3,Jasmine,Other/Metro,YPSILANTI,MI,48197,3,3,2026-05-18,59,Unknown
Internal Medicine Clinic - Taubman Center,Primary Care,T3,Jasmine,Other/Metro,Ann Arbor,Michigan,481095856,3,30,2026-06-09,37,Unknown
Katherine A Repp Np,Primary Care,T3,Jasmine,Livonia,Dearborn,MI,48124-5032,3,3,2026-06-01,45,Unknown
Kris Warszawski MD - MHP,Primary Care,T3,Jasmine,Other/Metro,GARDEN CITY,MI,48135,3,6,2026-06-15,31,Past due
"McGrail MD, Caprice (may not be a good fit)",Primary Care,T3,Jasmine,Other/Metro,Canton,MI,481873795,3,3,2026-05-13,64,Unknown
MD URGENT CARE,Urgent Care,T3,Jasmine,Other/Metro,Ann Arbor,Michigan,48103,3,3,2026-06-11,35,Unknown
MDWell,Primary Care,T3,Jasmine,Livonia,Dearborn,Michigan,48124,3,12,2026-05-06,71,Unknown
"MICHIGAN INTERNAL MEDICINE ASSOCIATES, PC",Primary Care,T3,Jasmine,Other/Metro,Dearborn Heights,Michigan,48127,3,12,2026-06-17,29,Unknown
Michigan urgent care,Urgent Care,T3,Jasmine,Other/Metro,Ann Arbor,Michigan,48104,3,30,2026-06-11,35,Unknown
NORDYKE FAMILY MEDICINE,Primary Care,T3,Jasmine,Other/Metro,WYANDOTTE,MI,48192,3,9,2026-03-31,107,Unknown
Norman MacDermid DO PC,Primary Care,T3,Jasmine,Other/Metro,Belleville,Michigan,48111,3,3,2026-05-29,48,Unknown
OAK STREET HEALTH CHERRY HILL,Primary Care,T3,Jasmine,Other/Metro,INKSTER,MI,48141,3,21,2026-04-22,85,Unknown
"Oakman, Medical Center",Primary Care,T3,Jasmine,Livonia,Dearborn,Michigan,48126,3,6,2026-07-14,2,Unknown
Office of Douglas Hames MD,Primary Care,T3,Jasmine,Other/Metro,Eastpointe,MI,48021,3,6,2026-05-12,65,Unknown
Office of Isis Hanna MD,Primary Care,T3,Jasmine,Other/Metro,Eastpointe,MI,48021,3,3,2026-05-12,65,Unknown
Office of Magdy Hanna MD,Primary Care,T3,Jasmine,Other/Metro,Eastpointe,MI,48021,3,3,2026-05-13,64,Unknown
Packard Health - Ann Arbor,Primary Care,T3,Jasmine,Other/Metro,Ann Arbor,Michigan,48108,3,36,2026-06-30,16,Unknown
Palmer Medical,Primary Care,T3,Jasmine,Livonia,Westland,Michigan,48186,3,3,2026-07-06,10,Unknown
Park Medical Centers - Canton,Primary Care,T3,Jasmine,Other/Metro,CANTON,MI,48187,3,3,2026-07-02,14,Unknown
PLYMOUTH CANTON FAMILY HEALTH,Primary Care,T3,Jasmine,Other/Metro,CANTON,MI,48187,3,3,2026-07-02,14,Unknown
Premier Medicine Primary and Urgent Care,Urgent Care,T3,Jasmine,Livonia,Dearborn,Michigan,48120,3,11,2026-07-14,2,Unknown
Primary Care Center,Primary Care,T3,Jasmine,Other/Metro,Dearborn Heights,Michigan,48125,3,15,2026-06-17,29,Unknown
"PROGRESSIVE HEALTH CARE, PC",Primary Care,T3,Jasmine,Other/Metro,TAYLOR,MI,48180,3,3,2026-06-29,17,Unknown
PULSE PRIMARY/SENIOR CARE,Primary Care,T3,Jasmine,Livonia,Dearborn,Michigan,48126,3,2,2026-07-14,2,Unknown
SaadMDClinic - Dearborn,Primary Care,T3,Jasmine,Livonia,DEARBORN,MI,48126,3,3,2026-05-20,57,Unknown
"Sickels MD, Malcolm",Primary Care,T3,Jasmine,Other/Metro,Ann Arbor,MI,481036218,3,9,2026-05-27,50,Unknown
"SITA MEDICAL CLINIC, PC",Primary Care,T3,Jasmine,Other/Metro,WYANDOTTE,MI,48192,3,12,2026-03-31,107,Unknown
SOUTHFIELD URGENT CARE,Urgent Care,T3,Jasmine,Southfield,SOUTHFIELD,Michigan,,3,0,2026-06-29,17,Unknown
"SUNSTRUM MEDICAL ASSOCIATES, PC",Primary Care,T3,Jasmine,Livonia,DEARBORN,MI,48124,3,6,2026-06-01,45,Unknown
"TAYLOR INTERNAL MEDICINE ASSOCIATES, PC",Primary Care,T3,Jasmine,Other/Metro,TAYLOR,MI,48180,3,3,2026-06-29,17,Unknown
"THAMER MEDICAL, PLLC",Primary Care,T3,Jasmine,Livonia,DEARBORN,MI,48124,3,3,2026-06-01,45,Unknown
THE VILLAGE DOCTOR AT CHERRY HILL,Primary Care,T3,Jasmine,Other/Metro,CANTON,MI,48188,3,3,2026-06-02,44,Unknown
TRENTON FAMILY CLINIC,Primary Care,T3,Jasmine,Other/Metro,WYANDOTTE,MI,48192,3,3,2026-03-31,107,Unknown
Trinity Health Neighborhood Primary Care,Primary Care,T3,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,21,2026-06-08,38,Unknown
Trinity health urgent care – EMU,Urgent Care,T3,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,2,2026-07-13,3,Unknown
Trupti Patel,Primary Care,T3,Jasmine,Livonia,Westland,Michigan,48185,3,2,2026-06-08,38,Unknown
Velocity Health Center,Primary Care,T3,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,3,2026-05-18,59,Unknown
"Vladimir Klemptner MD,",Primary Care,T3,Jasmine,Other/Metro,Ypsilanti,MI,481985807,3,3,2026-06-26,20,Unknown
WARRENFIELD MEDICAL CENTER (Medicaid),Primary Care,T3,Jasmine,Livonia,DEARBORN,Michigan,48126,3,15,2026-06-01,45,Unknown
WAYNE GERIATRICS,Primary Care,T3,Jasmine,Other/Metro,Wayne,Michigan,48184,3,3,2026-06-08,38,Unknown
Wayne Primary Care and Walk In,Urgent Care,T3,Jasmine,Other/Metro,Wayne,Michigan,48184,3,3,2026-06-08,38,Unknown
Albert Przybylski DO,Primary Care,T3,Coty,Sterling Heights,Clinton Township,MI,48035,3,12,2026-06-16,30,Unknown
AMG Oak Park Medical Center,Primary Care,T3,Coty,Southfield,Oak Park,MI,48237,3,6,2026-05-21,56,Unknown
Arcturus Healthcare - Rochester Hills,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,3,9,2026-06-15,31,Unknown
Be Well Medical Center,Primary Care,T3,Coty,Southfield,Berkley,MI,48072,3,24,2026-04-21,86,Unknown
Clarkston Internal Medicine,Primary Care,T3,Coty,Other/Metro,Clarkston,Michigan,48346,3,12,2026-06-08,38,Unknown
Clarkston Medical Group,Primary Care,T3,Coty,Other/Metro,Clarkston,Michigan,48346,3,77,2026-06-08,38,Unknown
Corewell Blanzy Clinic Southgate,Primary Care,T3,Coty,Other/Metro,Southgate,MI,48195,3,18,2026-04-10,97,Unknown
Corewell Health Internal Medicine - Troy,Primary Care,T3,Coty,Troy,Troy,Michigan,48084,3,9,2026-06-10,36,Unknown
Doctors Urgent Care & Telemedicine By Doctors Urgent Care Group,Urgent Care,T3,Coty,Sterling Heights,Sterling Heights,Michigan,48313,3,0,2026-04-30,77,Unknown
Emil Sitto MD,Primary Care,T3,Coty,Sterling Heights,Macomb,MI,48042,3,3,2026-07-10,6,Unknown
"George Afram MD,",Primary Care,T3,Coty,Other/Metro,St. Clair Shores,Michigan,48081,3,3,2026-06-04,42,Unknown
Henry Ford Macomb Internal Medicine,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,Michigan,48312,3,12,2026-06-16,30,Unknown
Henry Ford Medical Center - Beck Rd,Primary Care,T3,Coty,Other/Metro,Plymouth,MI,48170,3,6,2026-06-22,24,Unknown
Henry Ford St. John Center for Wellness,Primary Care,T3,Coty,Other/Metro,Roseville,Michigan,48066,3,15,2026-06-25,21,Unknown
Independence Urgent Care,Urgent Care,T3,Coty,Other/Metro,Clarkston,Michigan,48346,3,6,2026-06-08,38,Unknown
Macomb Family Medicine (Henry Ford) - Chesterfield,Primary Care,T3,Coty,Other/Metro,Chesterfield,Michigan,48047,3,6,2026-06-30,16,Unknown
Madison Medical Arts,Primary Care,T3,Coty,Other/Metro,Madison Heights,MI,48071,3,6,2026-06-24,22,Unknown
Maxem Urgent Care,Urgent Care,T3,Coty,Other/Metro,Madison Heights,Michigan,48071,3,0,2026-06-24,22,Unknown
MD VIP - Utica,Primary Care,T3,Coty,Other/Metro,Shebly Township,MI,48317,3,3,2026-07-07,9,Unknown
MDWELL -CO,Primary Care,T3,Coty,Livonia,Westland,Michigan,48185,3,17,2026-05-29,48,Unknown
My Health Urgent Care (Ascension) - Howell,Urgent Care,T3,Coty,Other/Metro,Howell,Michigan,48843,3,3,2026-07-16,0,Unknown
New Horizons Medical Center,Primary Care,T3,Coty,Livonia,Livonia,Michigan,48152,3,6,2026-04-02,105,Unknown
Normandy Family Practice,Primary Care,T3,Coty,Sterling Heights,Clinton Township,MI,48035,3,9,2026-06-16,30,Unknown
North Valley Internal Medicine,Primary Care,T3,Coty,Other/Metro,Highland Charter Township,Michigan,48357,3,24,2026-07-16,0,Unknown
Office of Steven Trombly MD,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,Michigan,48310,3,3,2026-07-09,7,Up to date
Partners in Family Medicine,Primary Care,T3,Coty,Other/Metro,Shelby Township,Michigan,48316,3,12,2026-05-20,57,Unknown
Premier Family Medicine - Livingston,Primary Care,T3,Coty,Other/Metro,Howell,Michigan,48843,3,12,2026-04-28,79,Unknown
Rochester Medical Group,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,3,27,2026-06-15,31,Unknown
Rubina Ahmed MD,Primary Care,T3,Coty,Other/Metro,Taylor,MI,48180,3,3,2026-05-11,66,Unknown
Shorepointe Family Physicians - St. Clair Shores,Primary Care,T3,Coty,Other/Metro,St Clair Shores,MI,48080,3,15,2026-06-04,42,Unknown
"SKYWALK INTERNAL MEDICINE, PC",Primary Care,T3,Coty,Sterling Heights,STERLING HEIGHTS,Michigan,48314,3,2,2026-04-01,106,Unknown
SOUTHGATE MEDICAL CLINIC,Primary Care,T3,Coty,Other/Metro,SOUTHGATE,MI,48195,3,3,2026-05-26,51,Unknown
Troy Health Center,Primary Care,T3,Coty,Troy,Troy,Michigan,48083,3,6,2026-07-01,15,Unknown
UofM Northville Health Center,Primary Care,T3,Coty,Other/Metro,Northville,Michigan,48168,3,3,2026-06-22,24,Unknown
Woods Cardiovascular Internal Medicine Associates - Macomb,Primary Care,T3,Coty,Sterling Heights,Macomb,MI,48044,3,4,2026-05-20,57,Unknown
24 Hour Lifeline Urgent Care,Urgent Care,T3,Sean,Sterling Heights,Warren,Michigan,48093,3,3,2026-03-24,114,Unknown
Academic Internal Medicine (Ascension),Primary Care,T3,Sean,Other/Metro,Washington,Michigan,48094,3,15,2026-03-17,121,Unknown
Aggarwal & Associates MD PC,Primary Care,T3,Sean,Sterling Heights,Warren,MI,48092,3,6,2026-04-24,83,Past due
ASCENSION MACOMB OAKLAND HOSPITAL MOTOR CITY INTERNISTS,Primary Care,T3,Sean,Sterling Heights,WARREN,Michigan,48093,3,9,2026-04-24,83,Unknown
Auburn Hills Medical Clinic,Primary Care,T3,Sean,Troy,Auburn Hills,MI,48326,3,9,2026-03-23,115,Unknown
Ausi Medical Center,Primary Care,T3,Sean,Sterling Heights,Sterling Heights,Michigan,48310,3,3,2026-06-04,42,Unknown
Beaumont Urgent Care - Macomb,Urgent Care,T3,Sean,Sterling Heights,Macomb,Michigan,48044,3,1,2026-03-31,107,Unknown
Berkley Urgent Care,Urgent Care,T3,Sean,Southfield,Berkley,Michigan,48072,3,7,2026-03-23,115,Unknown
Birmingham Royal Oak Medical Group,Primary Care,T3,Sean,Southfield,Royal Oak,MI,48073,3,15,2026-03-13,125,Unknown
Brigid Healthcare,Primary Care,T3,Sean,Troy,Troy,Michigan,48083,3,6,2026-04-14,93,Unknown
Carecore Health Center,Primary Care,T3,Sean,Troy,Troy,Michigan,48085,3,3,2026-04-14,93,Unknown
Clearwater Family Medicine,Primary Care,T3,Sean,Other/Metro,Washington Township,Michigan,48095,3,9,2026-05-27,50,Unknown
Corewell Health Urgent Care,Urgent Care,T3,Sean,Southfield,ROYAL OAK,Michigan,,3,3,2026-06-08,38,Unknown
Cornerstone Lakefront Internists,Primary Care,T3,Sean,Other/Metro,St. Clair Shores,Michigan,48081,3,7,2026-04-27,80,Unknown
"DIAB AND KINNER INTERNAL MEDICINE, PC- use",Primary Care,T3,Sean,Sterling Heights,WARREN,Michigan,48093,3,6,2026-03-24,114,Unknown
Downriver Internists,Primary Care,T3,Sean,Southfield,Oak Park,MI,48237,3,6,2026-04-22,85,Unknown
Elite Family Medicine,Primary Care,T3,Sean,Sterling Heights,Sterling Heights,Michigan,48310,3,6,2026-06-04,42,Unknown
Elite Internal Medicine,Primary Care,T3,Sean,Sterling Heights,Sterling Heights,Michigan,48310,3,9,2026-06-04,42,Unknown
Emcura Immediate Care - Grosse Pointe,Urgent Care,T3,Sean,Other/Metro,Grosse Pointe Woods,Michigan,48236,3,5,2026-06-03,43,Unknown
Epic Health - St Clair Shores,Primary Care,T3,Sean,Other/Metro,St. Clair Shores,Michigan,48081,3,21,2026-05-06,71,Unknown
Get Well Roseville Urgent Care,Urgent Care,T3,Sean,Other/Metro,Roseville,MI,48066,3,3,2026-05-06,71,Unknown
Get Well Urgent Care,Urgent Care,T3,Sean,Sterling Heights,Clinton Township,Michigan,48038,3,2,2026-05-19,58,Unknown
Get Well Urgent Care - Sterling Heights,Urgent Care,T3,Sean,Sterling Heights,Sterling Heights,Michigan,48310,3,8,2026-06-04,42,Unknown
Get Well Urgent Care Madison Heights,Urgent Care,T3,Sean,Other/Metro,Madison Heights,Michigan,48071,3,20,2026-03-25,113,Unknown
Gohealth Urgent Care,Urgent Care,T3,Sean,Other/Metro,Mount Clemens,Michigan,48043,3,4,2026-04-20,87,Unknown
Greater Shores Primary Care & Walk-In Clinic,Primary Care,T3,Sean,Other/Metro,Saint Clair Shores,MI,48080,3,11,2026-05-06,71,Unknown
Henry Ford Macomb Primary Care - Washington,Primary Care,T3,Sean,Other/Metro,Washington,Michigan,48095,3,8,2026-03-17,121,Unknown
Henry Ford Medical Center - East Jefferson,Primary Care,T3,Sean,Other/Metro,Saint Clair Shores,MI,48080,3,18,2026-04-27,80,Unknown
IEP Urgent Care - Clinton Township,Urgent Care,T3,Sean,Sterling Heights,Clinton Township,Michigan,48035,3,3,2026-03-19,119,Unknown
IEP Urgent Care - Grosse Pointe,Urgent Care,T3,Sean,Other/Metro,Grosse Pointe Woods,Michigan,48236,3,6,2026-06-03,43,Unknown
"Joyanta SAHA, MD, PLC",Primary Care,T3,Sean,Sterling Heights,CLINTON TOWNSHIP,Michigan,48038,3,3,2026-05-19,58,Unknown
Kashat Urgent care,Urgent Care,T3,Sean,Sterling Heights,Sterling Heights,Michigan,48310,3,3,2026-06-04,42,Unknown
LaFontaine Internal Medicine,Primary Care,T3,Sean,Other/Metro,Grosse Pointe,MI,482363250,3,6,2026-03-19,119,Unknown
Maplecrest Medical Urgent Care,Urgent Care,T3,Sean,Sterling Heights,STERLING HEIGHTS,Michigan,48310,3,6,2026-06-04,42,Unknown
Masonic Medical Center - Ascension,Primary Care,T3,Sean,Other/Metro,St. Clair Shores,Michigan,48082,3,36,2026-03-27,111,Unknown
Michigan Adult and Child Medicine,Primary Care,T3,Sean,Sterling Heights,Warren,Michigan,48093,3,21,2026-03-24,114,Unknown
Michigan Compassionate Care,Primary Care,T3,Sean,Sterling Heights,Warren,Michigan,48093,3,6,2026-03-11,127,Unknown
Michigan Physicians Group - Berkley,Primary Care,T3,Sean,Southfield,Berkley,Michigan,48072,3,15,2026-03-23,115,Unknown
Michigan Primary Care - Sterling Heights,Primary Care,T3,Sean,Sterling Heights,Sterling Heights,Michigan,48314,3,9,2026-06-04,42,Unknown
"Office of Audrey M Sim MD,",Primary Care,T3,Sean,Other/Metro,Saint Clair Shores,MI,480813770,3,3,2026-05-06,71,Unknown
Office of Lillman Dwarka MD,Primary Care,T3,Sean,Sterling Heights,Sterling Heights,MI,48312,3,3,2026-04-29,78,Unknown
Office of Robin Samyn MD,Primary Care,T3,Sean,Other/Metro,Grosse Pointe Woods,Michigan,48236,3,3,2026-06-03,43,Unknown
Office of Steven Minnick MD,Primary Care,T3,Sean,Other/Metro,Grosse Pointe,Michigan,48236,3,3,2026-06-03,43,Unknown
Office of Vincent Maribao MD,Primary Care,T3,Sean,Other/Metro,Saint Clair Shores,MI,48081,3,3,2026-05-06,71,Unknown
PEDIATRIC AND ADOLESCENT CARE ASSOCIATES,Primary Care,T3,Sean,Sterling Heights,STERLING HEIGHTS,Michigan,,3,6,2026-05-07,70,Unknown
Pioneer Medical Associates,Primary Care,T3,Sean,Sterling Heights,Warren,Michigan,48093,3,23,2026-05-21,56,Up to date
Pioneer Medical Associates - Warren,Primary Care,T3,Sean,Sterling Heights,Warren,MI,480934505,3,10,2026-05-21,56,Unknown
ProMed Urgent Care and Primary Care,Urgent Care,T3,Sean,Other/Metro,Roseville,Michigan,48066,3,2,2026-05-06,71,Unknown
Romeo Family Practice,Primary Care,T3,Sean,Other/Metro,Washington,MI,48095,3,18,2026-03-17,121,Unknown
Roseville Family Practice,Primary Care,T3,Sean,Sterling Heights,Warren,Michigan,48088,3,11,2026-03-12,126,Unknown
Salta Direct Primary Care - Shelby Township,Primary Care,T3,Sean,Other/Metro,Shelby Township,Michigan,48315,3,3,2026-05-26,51,Unknown
Schoenherr Parkway Family Practice,Primary Care,T3,Sean,Sterling Heights,Sterling Heights,Michigan,48312,3,6,2026-04-29,78,Unknown
Silver Pine Medical Group - Washington,Primary Care,T3,Sean,Other/Metro,Washington,Michigan,48094,3,4,2026-06-22,24,Unknown
"St Clair Shores, Ascension MyHealth Urgent Care",Urgent Care,T3,Sean,Other/Metro,St. Clair Shores,Michigan,48081,3,4,2026-03-27,111,Unknown
Tri-County Medical Clinic,Primary Care,T3,Sean,Sterling Heights,Sterling Heights,MI,48310,3,27,2026-04-01,106,Unknown
Trinity Medical Center,Primary Care,T3,Sean,Sterling Heights,Sterling Heights,Michigan,48310,3,3,2026-06-04,42,Unknown
Troy Urgent Care,Urgent Care,T3,Sean,Troy,Troy,Michigan,48085,3,3,2026-03-27,111,Unknown
Waypointe Internal Medicine,Primary Care,T3,Sean,Other/Metro,Saint Clair Shores,MI,48080,3,14,2026-04-27,80,Unknown
"ALAN L FELDMAN, DO, PC",Primary Care,T3,Kristen,Other/Metro,COMMERCE TOWNSHIP,MI,48382,2,2,2026-05-26,51,Unknown
Ali Alsaadi MD,Primary Care,T3,Kristen,Livonia,Farmington Hills,Michigan,48336,2,2,2026-05-13,64,Unknown
ALLEN PARK FAMILY PHYSICIANS,Primary Care,T3,Kristen,Other/Metro,Allen Park,Michigan,48101,2,6,2026-05-01,76,Unknown
Allisnce Healrh HENRY FORD WEST BLOOMFIELD FAMILY MEDICINE WALLED LAKE,Primary Care,T3,Kristen,Other/Metro,WALLED LAKE,MI,48390,2,4,2026-05-04,73,Unknown
Anderson Medical Services,Primary Care,T3,Kristen,Southfield,SOUTHFIELD,MI,48034,2,2,2026-05-27,50,Unknown
APH - Pavillion IM Use this one,Primary Care,T3,Kristen,Southfield,Southfield,Michigan,48075,2,10,2026-05-29,48,Unknown
ARBOR LANE FAMILY PHYSICIANS,Primary Care,T3,Kristen,Livonia,REDFORD,Michigan,,2,4,2026-05-01,76,Unknown
BASEL BRIKHO MEDICAL GROUP,Primary Care,T3,Kristen,Other/Metro,LATHRUP VILLAGE,Michigan,48076,2,2,2026-05-04,73,Unknown
Beaumont Medical Center - Redford,Primary Care,T3,Kristen,Other/Metro,Redford Charter Township,Michigan,48239,2,8,2026-05-01,76,Unknown
Berry Johnson Health,Primary Care,T3,Kristen,Southfield,Southfield,Michigan,48034,2,5,2026-05-27,50,Unknown
BIRMINGHAM MEDICAL,Primary Care,T3,Kristen,Southfield,SOUTHFIELD,Michigan,48076,2,2,2026-06-01,45,Unknown
Bloomfield Health,Primary Care,T3,Kristen,Other/Metro,Bloomfield Township,Michigan,48302,2,8,2026-05-06,71,Unknown
Bloomfield Urgent Care,Urgent Care,T3,Kristen,Other/Metro,Bloomfield Hills,Michigan,48302,2,18,2026-05-06,71,Unknown
Body Mind Spirit Integrated Health,Primary Care,T3,Kristen,Livonia,Farmington Hills,Michigan,48331,2,2,2026-05-11,66,Unknown
Bully Family Physicians,Primary Care,T3,Kristen,Southfield,Southfield,MI,48034,2,4,2026-05-27,50,Unknown
Burhani Medical Center - use this one,Primary Care,T3,Kristen,Livonia,Farmington Hills,Michigan,48334,2,2,2026-05-13,64,Unknown
CANTON MEDICAL CLINIC,Primary Care,T3,Kristen,Livonia,WESTLAND,Michigan,48185,2,4,2026-07-06,10,Unknown
"CARE FOR U MEDICAL, PC",Primary Care,T3,Kristen,Southfield,SOUTHFIELD,Michigan,,2,2,2026-05-29,48,Unknown
Carson Center Specialty,Primary Care,T3,Kristen,Southfield,SOUTHFIELD,MI,48034,2,2,2026-05-27,50,Unknown
