Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
True Health Chiropractic,Chiropractic,T1,Jasmine,Livonia,Livonia,Michigan,48154,4,8,2026-06-26,20,Unknown
UofM Pain Management - Canton,Pain Management,T1,Jasmine,Other/Metro,Canton,Michigan,48187,4,4,2026-06-11,35,Unknown
Wellness Wave Chiropractic,Chiropractic,T1,Jasmine,Livonia,Livonia,Michigan,48154,4,8,2026-06-26,20,Unknown
Bones & Joints Clinic,Pain Management,T1,Coty,Sterling Heights,Sterling Heights,Michigan,48310,4,3,2026-06-02,44,Unknown
"Glowacki MD - Institute for Pain, Spine & Headache Disorders",Pain Management,T1,Coty,Troy,Troy,Michigan,48085,4,23,2026-06-03,43,Unknown
Lakeside Neurology,Neurology,T1,Coty,Sterling Heights,Warren,MI,48088,4,16,2026-06-01,45,Unknown
Live Well Chiro,Chiropractic,T1,Coty,Troy,Rochester Hills,Michigan,48307,4,4,2026-07-15,1,Unknown
Metro Pain Clinic  - Warren,Pain Management,T1,Coty,Sterling Heights,Warren,Michigan,48088,4,4,2026-06-01,45,Unknown
Spine & Brain Surgery Specialists,Neurosurgery,T1,Coty,Southfield,Royal Oak,Michigan,48073,4,12,2026-06-17,29,Unknown
Evolution Chiropractic Health and Sport Fitness,Chiropractic,T1,Sean,Troy,Troy,Michigan,48085,4,4,2026-06-05,41,Unknown
Kraft Chiropractic,Chiropractic,T1,Sean,Troy,Troy,Michigan,48083,4,4,2026-05-01,76,Unknown
Purdy Chiropractic,Chiropractic,T1,Sean,Other/Metro,Washington,Michigan,48095,4,4,2026-05-27,50,Unknown
Rochester Family Chiropractic,Chiropractic,T1,Sean,Troy,Rochester Hills,Michigan,48309,4,4,2026-06-09,37,Unknown
Birmingham Wellness Center,Chiropractic,T1,Kristen,Troy,Birmingham,Michigan,48009,3,9,2026-07-08,8,Unknown
Blue Water Neurology Clinic,Neurology,T1,Kristen,Port Huron,Fort Gratiot,Michigan,48059,3,6,2026-05-05,72,Unknown
Hermann Banks MD PC,Neurology,T1,Kristen,Livonia,Livonia,Michigan,48154,3,3,2026-06-29,17,Unknown
