Company,MMC Company ID,Current PL,Owner Name,MMC Groups,Referral Evidence Band,Match Status,Match Method(s),Matched Referral Source(s),Matched Source Rows,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,First B2B Appointment,Last B2B Appointment,Last Spine Appointment,Prior Visit Before Reference Patient,Latest Visit-to-First-Appt Lag Days,Median Visit-to-First-Appt Lag,Patients 0–30 Days,Patients 31–60 Days,Patients 61–90 Days,Patients 91+ Days,Patients Without Prior MMC Visit,Referral Production Points,Referral Data Cutoff
Applebaum & Stone,89b27066-bd8f-45eb-b2ec-e3196a89a16c,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Exact company name,Applebaum and Stone,8,5,2,0,7,2026-02-26 00:00:00,2026-06-26 00:00:00,2026-06-26 00:00:00,2026-03-16 00:00:00,102,58,1,3,1,2,0,88,2026-07-10 00:00:00
Ross Law,86e7413a-57df-4cba-adee-c6d0a8e55b63,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Exact company name,Ross Law,7,5,2,0,7,2026-04-30 00:00:00,2026-06-22 00:00:00,2026-06-22 00:00:00,2026-05-29 00:00:00,24,14,7,0,0,0,0,88,2026-07-10 00:00:00
DMC PRIMARY AND SPECIALTY CARE WEST BLOOMFIELD,e1df3a06-b408-47d1-8333-8e5c30e7bc97,Kristen,Kristen Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"ARONOV DO, MARK; KRISHNAMOORTHY, MADHUMITHA",6,5,1,0,6,2026-01-14 00:00:00,2026-07-08 00:00:00,2026-04-15 00:00:00,2026-05-07 00:00:00,62,37,1,3,2,0,0,88,2026-07-10 00:00:00
Henry Ford Primary Care Center - 160,b6033c7f-ac4e-4957-b3b0-519077da6c8d,Kristen,Kristen Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Antone MD, May; Bajouka MD, Neeran; Bajouka MD, Neeran Yosif",6,5,0,1,6,2026-01-05 00:00:00,2026-05-20 00:00:00,2026-05-20 00:00:00,2026-05-08 00:00:00,12,24.5,2,1,1,0,2,88,2026-07-10 00:00:00
Kajy Law,3b453978-15f0-429d-ab43-67d84178b21f,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Exact company name,Kajy Law,8,5,0,0,5,2026-03-12 00:00:00,2026-05-21 00:00:00,2026-05-21 00:00:00,2026-05-12 00:00:00,9,9,5,0,0,0,0,88,2026-07-10 00:00:00
Vanstone Injury Law,5ffbe2ff-83ec-4e24-8d4f-4071334a9c5c,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Reviewed source alias,Vanstone; Vanstone Law,5,5,0,0,5,2026-01-09 00:00:00,2026-05-07 00:00:00,2026-05-07 00:00:00,2026-02-27 00:00:00,69,10,4,0,1,0,0,88,2026-07-10 00:00:00
Synergy Medical Primary Care,5cb01f9c-faec-4c04-b600-f0eba085f6a3,Jasmine,Jasmine Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Gandhi MD, Hetal; Sattam PA-C, Miranda; Simkow NP, Katie",19,4,14,1,19,2026-02-11 00:00:00,2026-06-25 00:00:00,2026-06-25 00:00:00,2026-06-12 00:00:00,13,18,15,4,0,0,0,80,2026-07-10 00:00:00
CANTON FAMILY HEALTH LLC,3acfe2ff-d550-4785-99aa-a1ea91ef7da4,Jasmine,Jasmine Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Ajami DO, Samih Mike; Yeihey MD, Shadia",6,4,1,1,6,2026-02-27 00:00:00,2026-07-06 00:00:00,2026-07-06 00:00:00,2026-07-06 00:00:00,0,44.5,1,3,0,2,0,80,2026-07-10 00:00:00
Macomb Internal Medicine,5271bbd8-dfe5-4d54-a0a2-f5547050cafe,Sean,Sean Sweeney,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Duvoor MD, Anu; Kosal DO, Linda",4,4,0,0,4,2026-02-09 00:00:00,2026-07-08 00:00:00,2026-07-08 00:00:00,2026-05-19 00:00:00,50,9,3,1,0,0,0,80,2026-07-10 00:00:00
Office of George Nassif MD,1225209075,Coty,Coty Oetjens,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Unique provider first + last,"Nassif MD, George Helmy",4,4,0,0,4,2026-03-06 00:00:00,2026-06-15 00:00:00,2026-06-15 00:00:00,2026-05-14 00:00:00,32,29.5,2,2,0,0,0,80,2026-07-10 00:00:00
QuickDoc Urgent Care,20e3535a-e9f3-4760-9cd8-6e86789495da,Jasmine,Jasmine Jones,Urgent Cares,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Rahbar MD, Mohamad",4,4,0,0,4,2026-02-10 00:00:00,2026-05-28 00:00:00,2026-05-28 00:00:00,2026-05-12 00:00:00,16,11,4,0,0,0,0,80,2026-07-10 00:00:00
Beaumont Medical Center - Redford,03095e36-e586-4709-8cd8-440a98b9bcd7,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"MARSHALL MD, BRITANI ALYCE; Marshall MD, Britani; Weathersby MD, Liza",23,3,20,0,23,2026-01-08 00:00:00,2026-06-12 00:00:00,2026-04-10 00:00:00,2026-05-01 00:00:00,42,33,11,7,5,0,0,80,2026-07-10 00:00:00
OAK STREET HEALTH CHERRY HILL,0cc06713-910b-4b74-ba14-7cd3d76b3c62,Jasmine,Jasmine Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact company name; Exact provider name,"Larcher NP, Nadine; Larcher, Nadine; Morrell MD, Gaybriel; Oakstreet Health - Cherry Hill; Vasquez MD, Peter",21,3,14,4,21,2026-01-05 00:00:00,2026-06-25 00:00:00,2026-05-27 00:00:00,2026-04-22 00:00:00,64,22,13,7,1,0,0,80,2026-07-10 00:00:00
Be Well Medical Center,1174554364,Coty,Coty Oetjens,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Benson DO, Paul A; Bornstein DO, Mark; Rosen PA-C, Mark; Rosen PA-C, Mark (ZOC DOC); Youngblood PA C, Caleb",17,3,11,3,17,2026-02-02 00:00:00,2026-07-08 00:00:00,2026-06-09 00:00:00,2026-04-21 00:00:00,78,17,9,7,1,0,0,80,2026-07-10 00:00:00
NORLIVO INTERNAL MEDICINE,74262c96-dd4b-4b92-acd7-c43ebba4c04f,Jasmine,Jasmine Jones,Ortho;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Sturla MD, Amadeo; Sturla MD, Amadeo R",10,3,7,0,10,2026-02-24 00:00:00,2026-06-05 00:00:00,2026-05-04 00:00:00,2026-04-27 00:00:00,39,19,8,2,0,0,0,80,2026-07-10 00:00:00
MI Family Practice,6aee51ce-625f-4968-96c5-5d9a6936bf27,Sean,Sean Sweeney,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"GARZA DO, MATTHEW; Lisowsky DO, Taras",8,3,5,0,8,2026-01-14 00:00:00,2026-07-07 00:00:00,2026-07-07 00:00:00,2026-03-11 00:00:00,118,28.5,4,3,0,1,0,80,2026-07-10 00:00:00
GARDEN CITY FAMILY PHYSICIANS,be4c4280-49d5-443c-b413-3471ee753d27,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Francu MD, Angelica",6,3,3,0,6,2026-01-12 00:00:00,2026-05-18 00:00:00,2026-05-18 00:00:00,2026-03-17 00:00:00,62,30.5,3,2,1,0,0,80,2026-07-10 00:00:00
Levine Clinic of Chiropractic,e19f7675-d86b-445b-ad8d-c06409bfde92,Kristen,Kristen Jones,Chiropractor,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Levine DC, Richard",5,3,1,1,5,2026-02-05 00:00:00,2026-06-01 00:00:00,2026-05-08 00:00:00,2026-05-08 00:00:00,24,9,5,0,0,0,0,80,2026-07-10 00:00:00
DMC Orthopedics - Commerce Township,568c9052-985c-48fa-b5bc-44baafba3dea,Kristen,Kristen Jones,Orthopedic Surgery,Repeat Spine Referrer,Deterministically matched,Exact provider name; Exact provider name + referral PL owner,"Cooke, Christopher; Mackey MD, Mark",3,3,0,0,3,2026-07-06 00:00:00,2026-07-06 00:00:00,2026-07-06 00:00:00,2026-07-06 00:00:00,0,0,3,0,0,0,0,80,2026-07-10 00:00:00
Hermann Banks MD PC,31597599-5a74-4f7a-8cb0-0ebbb4b41303,Kristen,Kristen Jones,Neurology,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Banks MD, Hermann; Banks, Hermann Darwin",3,3,0,0,3,2026-03-04 00:00:00,2026-06-29 00:00:00,2026-06-29 00:00:00,2026-06-29 00:00:00,0,26,1,1,0,0,1,80,2026-07-10 00:00:00
Lifetime Family Care,b70053c3-f0fd-41de-9386-95fcc448a738,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Balysh DO, Erica; Balysh DO, Erica N; Orrin DO, Colin David",5,3,0,0,3,2026-01-07 00:00:00,2026-03-20 00:00:00,2026-03-20 00:00:00,2026-01-13 00:00:00,66,66,1,0,2,0,0,80,2026-07-10 00:00:00
North Valley Internal Medicine,063204da-544e-4bdd-a18b-f483a5c16ad9,Coty,Coty Oetjens,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Genson DO, Brandon; Johnston PA-C, Ryan",3,3,0,0,3,2026-02-10 00:00:00,2026-05-22 00:00:00,2026-05-22 00:00:00,2026-04-28 00:00:00,24,24,2,1,0,0,0,80,2026-07-10 00:00:00
Frank Lanzilote DO-Family Practice,1d143d90-6122-41e7-ae14-c14d4e4317b4,Jasmine,Jasmine Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Kodali MD, Pooja",23,2,18,3,23,2026-01-02 00:00:00,2026-06-12 00:00:00,2026-02-04 00:00:00,2026-05-21 00:00:00,22,15,18,5,0,0,0,74,2026-07-10 00:00:00
Medical Clinic of Northville,ebcb6f7a-eb6b-4759-81d9-516e3dc36b67,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Cislo PA, Lauren; Ducu MD, Mirella; Ducu MD, Mirella F; Johnstone MD, Cheryl Anne; Summers MD, Ross; Summers MD, Ross A",19,2,16,0,18,2026-01-08 00:00:00,2026-06-26 00:00:00,2026-05-27 00:00:00,2026-06-04 00:00:00,22,22,14,4,0,0,0,74,2026-07-10 00:00:00
Oakland Family Practice,13ba57d5-6bc6-4d44-8d40-efd8e7131d2e,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Hetzner DNP, Rachel; Hirsch DO, Ronald; Hoffman MSW, Keith; Kranz DO, Zachary; Kranz, Zachary; Millman FNP-C, Michelle",17,2,13,2,17,2026-01-07 00:00:00,2026-07-08 00:00:00,2026-05-19 00:00:00,2026-06-15 00:00:00,23,23,11,6,0,0,0,74,2026-07-10 00:00:00
MNP,40477f1c-8f50-4f86-8e7e-a5431b7f2fe6,Kristen,Kristen Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Shropshire NP, Kasheena; Shropshire, Kasheena",11,2,9,0,11,2026-01-27 00:00:00,2026-06-24 00:00:00,2026-05-12 00:00:00,2026-06-22 00:00:00,2,19,7,4,0,0,0,74,2026-07-10 00:00:00
Faith Internal Medicine & Urgent Care,677326d2-4ba2-4a49-a6f1-e7633a9a8401,Coty,Coty Oetjens,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Jacob MD, Laith; Jacob MbChB, Laith J",10,2,7,1,10,2026-01-22 00:00:00,2026-06-22 00:00:00,2026-04-21 00:00:00,2026-06-19 00:00:00,3,20,8,2,0,0,0,74,2026-07-10 00:00:00
Michigan Compassionate Care,33d0c0aa-7d47-450d-9673-71acb651321c,Sean,Sean Sweeney,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact company name; Exact provider name,"Michigan Compassionate Care; Vasiq MD, Muhammad",9,2,6,1,9,2026-01-14 00:00:00,2026-05-11 00:00:00,2026-02-11 00:00:00,2026-03-11 00:00:00,61,21,7,1,1,0,0,74,2026-07-10 00:00:00
Pulmonary & Medical Associates,dda630a5-9d61-49cd-bec6-61084e47ddb9,Kristen,Kristen Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Pearson DO, Shanna; Pearson MD, Shanna",8,2,5,1,8,2026-01-19 00:00:00,2026-07-09 00:00:00,2026-06-09 00:00:00,2026-04-30 00:00:00,70,47.5,2,4,2,0,0,74,2026-07-10 00:00:00
Premier Medicine Medical Center - Livonia,13842362-6701-47f3-95cc-140ea17bd264,Jasmine,Jasmine Jones,Urgent Cares;PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Chowdhury MD, Somnath; Fukala NP, Monica; Fukala, Monica; Suliman MD, Nabil",7,2,5,0,7,2026-01-13 00:00:00,2026-06-19 00:00:00,2026-02-03 00:00:00,2026-05-20 00:00:00,30,30,5,2,0,0,0,74,2026-07-10 00:00:00
Oakland Primary Care,1952660706,Coty,Coty Oetjens,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Rahman MD, Uroob; Ryan Smith DO; Soffa DO, Jason; Soffa DO, Jason I; Soffa, Jason I",6,2,4,0,6,2026-01-08 00:00:00,2026-06-15 00:00:00,2026-06-15 00:00:00,2026-03-24 00:00:00,83,24,4,0,2,0,0,74,2026-07-10 00:00:00
Village Medical - Livonia,e3d707da-675d-4d7c-9356-2f53ec4d8a2e,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact company name; Exact provider name,"Erickson DO, Martin; Jackson DO, Paul; Rosenfeld DO, Sherri; Van Oast PA, Joann; Village Medical Livonia",6,2,4,0,6,2026-02-04 00:00:00,2026-06-23 00:00:00,2026-03-30 00:00:00,2026-04-24 00:00:00,60,40.5,3,1,2,0,0,74,2026-07-10 00:00:00
MedPro Primary Care,eebb725b-b031-43b9-a3d7-bfa83d77bc18,Kristen,Kristen Jones,Urgent Cares,Repeat Spine Referrer,Deterministically matched,Exact provider name + referral PL owner,"Demarce NP, Samantha; Weber PA, Jaclyn",4,2,2,0,4,2026-02-11 00:00:00,2026-04-10 00:00:00,2026-03-05 00:00:00,2026-03-24 00:00:00,17,30.5,2,2,0,0,0,74,2026-07-10 00:00:00
Village Medical Farmington,8a6ae159-0242-4272-b933-bd11fc117733,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Sabb MD, Sandra; Stern DO, Sheldon; Stern DO, Sheldon L",4,2,1,1,4,2026-02-13 00:00:00,2026-05-21 00:00:00,2026-03-26 00:00:00,2026-05-11 00:00:00,10,26,2,1,1,0,0,74,2026-07-10 00:00:00
Brigid Healthcare,63bf16ad-3645-45fb-8f1d-e1eb3a131efc,Sean,Sean Sweeney,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Unique provider first + last,"Wang PA, Hui",3,2,1,0,3,2026-01-22 00:00:00,2026-04-17 00:00:00,2026-04-17 00:00:00,2026-04-14 00:00:00,3,10,3,0,0,0,0,74,2026-07-10 00:00:00
Carson Center Specialty,fe708f7e-ac39-4cb4-91fb-ef244909b360,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Soskina MD, Yeva",3,2,1,0,3,2026-01-12 00:00:00,2026-03-30 00:00:00,2026-02-03 00:00:00,2026-03-04 00:00:00,26,26,2,1,0,0,0,74,2026-07-10 00:00:00
Get Well Urgent Care Madison Heights,346a1335-a97f-4a1a-9847-77f9e71383c3,Sean,Sean Sweeney,Urgent care,Repeat Spine Referrer,Deterministically matched,Exact company name; Reviewed source alias,Get Well Urgent Care - Madison Heights; Getwell Urgent Care- Madison Heights,3,2,1,0,3,2026-02-04 00:00:00,2026-06-24 00:00:00,2026-04-22 00:00:00,2026-03-25 00:00:00,91,28,2,0,0,1,0,74,2026-07-10 00:00:00
Ivy Rehab - Farmington,d1393500-eb13-4514-9e0b-427f872ffa8b,Kristen,Kristen Jones,Physical Therapy,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Aliseo DPT, Andrea",3,2,1,0,3,2026-05-05 00:00:00,2026-07-06 00:00:00,2026-07-06 00:00:00,2026-06-08 00:00:00,28,7,3,0,0,0,0,74,2026-07-10 00:00:00
Metro Medical Practice,60-080-4525,Kristen,Kristen Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Unique provider first + last,"Nerga MD, Alicja Bernarda",3,2,1,0,3,2026-01-22 00:00:00,2026-03-26 00:00:00,2026-03-26 00:00:00,2026-02-24 00:00:00,30,42,1,2,0,0,0,74,2026-07-10 00:00:00
Powers Family Medicine,00-761-7874,Kristen,Kristen Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"POWERS DO, WILLIAM JOHN; Shefferly PA-C, Sommer",3,2,1,0,3,2026-03-24 00:00:00,2026-04-20 00:00:00,2026-04-20 00:00:00,2026-02-17 00:00:00,62,57,0,2,1,0,0,74,2026-07-10 00:00:00
Ryan Medical Associates,c88f05f1-5992-43b0-947c-469a44a0feef,Sean,Sean Sweeney,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Agrest DO, Kevin A; England NP, Christine; Kraft DO, Jeffrey A",3,2,1,0,3,2026-01-12 00:00:00,2026-04-07 00:00:00,2026-04-07 00:00:00,2026-03-11 00:00:00,27,19,3,0,0,0,0,74,2026-07-10 00:00:00
The Family Doctor,23a703a6-5bde-4887-845c-b78a61128817,Coty,Coty Oetjens,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Mckenzie MD, Keith; Pop MD, Claudia",3,2,1,0,3,2026-04-14 00:00:00,2026-05-14 00:00:00,2026-05-14 00:00:00,2026-04-15 00:00:00,29,19,3,0,0,0,0,74,2026-07-10 00:00:00
Victor Valentino Law,740ceb33-170d-402e-b5c2-8c204cf2bdf4,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Exact provider name,Victor Valentino,5,2,1,0,3,2026-03-27 00:00:00,2026-04-02 00:00:00,2026-04-02 00:00:00,2026-03-18 00:00:00,15,12,3,0,0,0,0,74,2026-07-10 00:00:00
Chronic Pain Institute,11ed7e07-a278-4fda-90ea-e3baede80121,Coty,Coty Oetjens,Pain Management,Repeat Spine Referrer,Deterministically matched,Unique provider first + last,"Deogun MD, Kuldip S",2,2,0,0,2,2026-06-23 00:00:00,2026-06-30 00:00:00,2026-06-30 00:00:00,2026-06-02 00:00:00,28,24.5,2,0,0,0,0,74,2026-07-10 00:00:00
"FARMINGTON HILLS  FAMILY PHYSICIANS, PLLC",cc6d8767-1fad-4a5b-b658-38a67ea47a1c,Kristen,Kristen Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Ahmad MD, Mutahhar; Ahmad, Mutahhar",2,2,0,0,2,2026-01-05 00:00:00,2026-02-24 00:00:00,2026-02-24 00:00:00,2026-02-16 00:00:00,8,20.5,1,1,0,0,0,74,2026-07-10 00:00:00
Grand River Medical Associates,218209bd-0e83-4585-b5e7-1455814e77b1,Jasmine,Jasmine Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Unique provider first + last,"Taweel DO, Jamie G",2,2,0,0,2,2026-06-23 00:00:00,2026-06-30 00:00:00,2026-06-30 00:00:00,2026-04-14 00:00:00,77,73.5,0,0,2,0,0,74,2026-07-10 00:00:00
MEDPRO PRIMARY CARE - Waltz Rd,5ba2b7d1-0a31-458d-95a0-4ba47f0574a0,Coty,Coty Oetjens,Pain,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Finazzo PA-C, Ashleigh",2,2,0,0,2,2026-01-06 00:00:00,2026-05-18 00:00:00,2026-05-18 00:00:00,2026-02-17 00:00:00,90,94.5,0,0,1,1,0,74,2026-07-10 00:00:00
Safir Law,797c97ec-e6b4-42b3-920e-e16a6364e0c9,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Exact provider name,Joel Safir,3,2,0,0,2,2026-02-26 00:00:00,2026-03-31 00:00:00,2026-03-31 00:00:00,2026-02-27 00:00:00,32,24,1,1,0,0,0,74,2026-07-10 00:00:00
Steinberg Law Firm,8f912f3f-f54b-4694-984f-06c26dcbe2a8,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Exact provider name,Eric Steinberg,2,2,0,0,2,2026-02-09 00:00:00,2026-02-13 00:00:00,2026-02-13 00:00:00,2026-01-29 00:00:00,15,13,2,0,0,0,0,74,2026-07-10 00:00:00
Triumph chiropractic,d99edd32-fb45-4528-94d3-645792efefa1,Kristen,Kristen Jones,,Repeat Spine Referrer,Deterministically matched,Exact provider name,"Rodnick, Alexander",3,2,0,0,2,2026-03-12 00:00:00,2026-04-10 00:00:00,2026-04-10 00:00:00,2025-06-19 00:00:00,295,280.5,0,0,0,2,0,74,2026-07-10 00:00:00
Lakes Urgent Care - Livonia,73107e68-fc7f-46d0-bef4-ee26e9dc0099,Jasmine,Jasmine Jones,Urgent care,One Spine Patient,Deterministically matched,Exact company name; Reviewed source alias,LAKES URGENT CARE; Lakes Urgent Care; Lakes Urgent Care Livonia,32,1,28,3,32,2026-01-12 00:00:00,2026-07-06 00:00:00,2026-05-14 00:00:00,2026-06-09 00:00:00,27,15,27,5,0,0,0,61,2026-07-10 00:00:00
