Company ID,Company Name,Groups,Spine Tier,Spine Wave,Spine Target Score,Referral Evidence,2026 Spine Patients,Visit Frequency Days,Route Day,First Planned Week,Next Action,Assigned PL
a29bc662-1f09-48ea-a1f5-efe24cc01eeb,Great Lakes Medicine,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
3bfd16c2-8d66-4fed-9ad2-cc715dfd2eb8,Revolution Wellness,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
4d38264b-b17e-42b4-9043-92ff06e62c09,WARREN PODIATRY,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Other Patient Referrer,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
c2e9f4c4-65ff-4730-abe0-7f210be0bf8f,Michigan Brain & Spine - Warren,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
9b6db0bd-31b4-4d7e-b351-e4ee78a4defa,Trinity IHA Primary Care - Rochester Hills,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
7c9505b8-9a32-47d6-a489-6171ce848c9e,LMT Rehabilitation Associates - Troy,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
c48a8a2e-4d60-4a18-8000-3f3dea9cf03a,"DEVYANI KHAMBETE, MD, PC",Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
ff09ce61-5da4-4d5d-9ae6-7b9215731ce9,McLaren Center for Spine & Pain Management,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
4d131d76-2f91-472e-bf42-c1ae3f5f7622,McLaren Macomb Family First,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
f5b10e96-2444-4c72-b938-1004495c7ee3,Ernest Chiodo MD,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
54898915-220c-4900-ba07-febdcdb005c0,"Edward A. Tashjian, MD - Clarkston",Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
e0f2c54e-06ee-4e34-863e-cb4675bd5c6e,PINE TREE MEDICAL CENTER,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
c3b6301b-b3bc-474d-9ddd-d21fd2c40797,Health First Medical Center,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
aaded854-5fe8-4282-b99d-3af289b977e0,Back & Pain Center (UofM) at Burlington Bldg,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
4430ce9a-04c4-4489-8cd4-1f4abdc28ce9,U of M Physical Medicine & Rehabilitation Clinic - Burlington Building,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
